# Pin Out For ECP5-5G-85,,,,,,,,,,
# Revision 0.0,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,
,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA756,CABGA554,CABGA381,CSFBGA285
0,GND,-,-,-,-,-,L11,-,-,-
0,GND,-,-,-,-,-,M11,-,-,-
0,GND,-,-,-,-,-,N11,-,-,-
0,GND,-,-,-,-,-,P11,-,-,-
0,GND,-,-,-,-,-,R11,-,-,-
0,GND,-,-,-,-,-,T11,-,-,-
0,GND,-,-,-,-,-,U11,-,-,-
0,GND,-,-,-,-,-,V11,-,-,-
0,GND,-,-,-,-,-,W11,-,-,-
0,GND,-,-,-,-,-,Y11,-,-,-
0,GND,-,-,-,-,-,AA11,-,-,-
0,GND,-,-,-,-,-,AB13,-,-,-
0,GND,-,-,-,-,-,K10,-,-,-
0,GND,-,-,-,-,-,L10,-,-,-
0,GND,-,-,-,-,-,B9,-,-,-
0,GND,-,-,-,-,-,E9,-,-,-
0,GND,-,-,-,-,-,B5,-,-,-
0,GND,-,-,-,-,-,E5,-,-,-
0,GND,-,-,-,-,-,J5,-,-,-
0,GND,-,-,-,-,-,N5,-,-,-
0,GND,-,-,-,-,-,R5,-,-,-
0,GND,-,-,-,-,-,V5,-,-,-
0,GND,-,-,-,-,-,AD5,-,-,-
0,GND,-,-,-,-,-,AH5,-,-,-
0,GND,-,-,-,-,-,AL5,-,-,-
0,GND,-,-,-,-,-,B2,-,-,-
0,GND,-,-,-,-,-,E2,-,-,-
0,GND,-,-,-,-,-,J2,-,-,-
0,GND,-,-,-,-,-,N2,-,-,-
0,GND,-,-,-,-,-,R2,-,-,-
0,GND,-,-,-,-,-,V2,-,-,-
0,GND,-,-,-,-,-,Y2,-,-,-
0,GND,-,-,-,-,-,AD2,-,-,-
0,GND,-,-,-,-,-,AH2,-,-,-
0,GND,-,-,-,-,-,AL2,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,-,-,-,-
0,VCC,-,-,-,-,-,M21,L17,H13,J4
0,VCC,-,-,-,-,-,N21,M17,J13,M4
0,VCC,-,-,-,-,-,P21,N17,K13,J5
0,VCC,-,-,-,-,-,R21,P17,L13,P7
0,VCC,-,-,-,-,-,T21,R17,M13,D8
0,VCC,-,-,-,-,-,U21,T17,N13,D9
0,VCC,-,-,-,-,-,V21,K16,H12,P9
0,VCC,-,-,-,-,-,W21,T16,N12,D10
0,VCC,-,-,-,-,-,Y21,K15,H11,D11
0,VCC,-,-,-,-,-,AA21,T15,N11,P11
0,VCC,-,-,-,-,-,M20,K14,H10,J14
0,VCC,-,-,-,-,-,AA20,T14,N10,J15
0,VCC,-,-,-,-,-,M19,K13,H9,M15
0,VCC,-,-,-,-,-,AA19,T13,N9,-
0,VCC,-,-,-,-,-,M18,K12,H8,-
0,VCC,-,-,-,-,-,AA18,T12,J8,-
0,VCC,-,-,-,-,-,M17,K11,K8,-
0,VCC,-,-,-,-,-,AA17,T11,L8,-
0,VCC,-,-,-,-,-,M16,L10,M8,-
0,VCC,-,-,-,-,-,AA16,M10,N8,-
0,VCC,-,-,-,-,-,M15,N10,-,-
0,VCC,-,-,-,-,-,AA15,P10,-,-
0,VCC,-,-,-,-,-,M14,R10,-,-
0,VCC,-,-,-,-,-,AA14,T10,-,-
0,VCC,-,-,-,-,-,M13,-,-,-
0,VCC,-,-,-,-,-,AA13,-,-,-
0,VCC,-,-,-,-,-,M12,-,-,-
0,VCC,-,-,-,-,-,N12,-,-,-
0,VCC,-,-,-,-,-,P12,-,-,-
0,VCC,-,-,-,-,-,R12,-,-,-
0,VCC,-,-,-,-,-,T12,-,-,-
0,VCC,-,-,-,-,-,U12,-,-,-
0,VCC,-,-,-,-,-,V12,-,-,-
0,VCC,-,-,-,-,-,W12,-,-,-
0,VCC,-,-,-,-,-,Y12,-,-,-
0,VCC,-,-,-,-,-,AA12,-,-,-
0,VCC,-,-,-,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,N23,K19,F15,E6
0,VCCAUX,-,-,-,-,-,Y23,T19,P15,N6
0,VCCAUX,-,-,-,-,-,AC22,W19,F6,E13
0,VCCAUX,-,-,-,-,-,K20,H17,P6,P13
0,VCCAUX,-,-,-,-,-,K13,H14,-,-
0,VCCAUX,-,-,-,-,-,AC11,H11,-,-
0,VCCAUX,-,-,-,-,-,N10,L8,-,-
0,VCCAUX,-,-,-,-,-,Y10,T8,-,-
0,VCCAUX,-,-,-,-,-,-,W8,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,K16,H13,F10,D12
0,VCCIO0,0,-,-,-,-,K15,H12,F9,-
0,VCCIO0,0,-,-,-,-,K14,H10,-,-
0,VCCIO0,0,-,-,-,-,K12,-,-,-
0,VCCIO0,0,-,-,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,K21,H18,F12,D7
0,VCCIO1,1,-,-,-,-,K19,H16,F11,-
0,VCCIO1,1,-,-,-,-,K18,H15,-,-
0,VCCIO1,1,-,-,-,-,K17,-,-,-
0,VCCIO1,1,-,-,-,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,M23,J19,H15,G5
0,VCCIO2,2,-,-,-,-,P23,L19,J15,H5
0,VCCIO2,2,-,-,-,-,R23,M19,H14,-
0,VCCIO2,2,-,-,-,-,T23,N19,-,-
0,VCCIO2,2,-,-,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,U23,P19,L15,M5
0,VCCIO3,3,-,-,-,-,V23,R19,M15,N5
0,VCCIO3,3,-,-,-,-,W23,U19,L14,-
0,VCCIO3,3,-,-,-,-,AA23,-,-,-
0,VCCIO3,3,-,-,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-,-,-,-
0,VCCIO3,3,-,-,-,-,-,-,-,-
0,VCCIO4,4,-,-,-,-,AB23,V19,-,-
0,VCCIO4,4,-,-,-,-,AC23,V18,-,-
0,VCCIO4,4,-,-,-,-,-,-,-,-
0,VCCIO4,4,-,-,-,-,-,-,-,-
0,VCCIO4,4,-,-,-,-,-,-,-,-
0,GND,-,GND,-,-,-,AH26,AC24,V20,R1
0,GND,-,GND,-,-,-,AJ26,AD24,V19,R2
0,GND,-,GND,-,-,-,AK26,AE24,W19,T2
0,GND,-,GND,-,-,-,AL26,AF24,V16,U2
0,GND,-,GND,-,-,-,AM26,AB23,W16,T3
0,GND,-,GND,-,-,-,AH25,AB22,V15,U3
0,GND,-,GND,-,-,-,AH24,AE22,W15,T4
0,GND,-,GND,-,-,-,AL24,AB21,U14,U4
0,GND,-,GND,-,-,-,AF23,AC21,V14,V4
0,GND,-,GND,-,-,-,AG23,AD21,U13,U5
0,GND,-,GND,-,-,-,AH23,AE21,V13,P6
0,GND,-,GND,-,-,-,AJ23,AA20,U12,T6
0,GND,-,GND,-,-,-,AK23,AE19,V12,T7
0,GND,-,GND,-,-,-,AL23,AA18,W12,U7
0,GND,-,GND,-,-,-,AL21,AB18,U11,V7
0,GND,-,GND,-,-,-,AF20,AC18,U10,P8
0,GND,-,GND,-,-,-,AG20,AD18,U9,T8
0,GND,-,GND,-,-,-,AH20,AE18,V9,T9
0,GND,-,GND,-,-,-,AJ20,AA17,U8,U9
0,GND,-,GND,-,-,-,AK20,AE16,V8,T10
0,GND,-,GND,-,-,-,AL20,AA15,U7,U10
0,GND,-,GND,-,-,-,AF19,AB15,V7,V10
0,GND,-,GND,-,-,-,AL18,AC15,W7,T11
0,GND,-,GND,-,-,-,AF17,AD15,V6,U11
0,GND,-,GND,-,-,-,AG17,AE15,W6,P12
0,GND,-,GND,-,-,-,AH17,AA14,V5,T12
0,GND,-,GND,-,-,-,AJ17,AB14,-,-
0,GND,-,GND,-,-,-,AK17,AA13,-,-
0,GND,-,GND,-,-,-,AL17,AB13,-,-
0,GND,-,GND,-,-,-,AF16,AE13,-,-
0,GND,-,GND,-,-,-,AG16,AA12,-,-
0,GND,-,GND,-,-,-,AH16,AB12,-,-
0,GND,-,GND,-,-,-,AF15,AC12,-,-
0,GND,-,GND,-,-,-,AG15,AD12,-,-
0,GND,-,GND,-,-,-,AH15,AE12,-,-
0,GND,-,GND,-,-,-,AL15,AA10,-,-
0,GND,-,GND,-,-,-,AF14,AE10,-,-
0,GND,-,GND,-,-,-,AG14,AA9,-,-
0,GND,-,GND,-,-,-,AH14,AB9,-,-
0,GND,-,GND,-,-,-,AJ14,AC9,-,-
0,GND,-,GND,-,-,-,AK14,AD9,-,-
0,GND,-,GND,-,-,-,AL14,AE9,-,-
0,GND,-,GND,-,-,-,AF12,AA7,-,-
0,GND,-,GND,-,-,-,AL12,AE7,-,-
0,GND,-,GND,-,-,-,AF11,AB6,-,-
0,GND,-,GND,-,-,-,AG11,AC6,-,-
0,GND,-,GND,-,-,-,AH11,AD6,-,-
0,GND,-,GND,-,-,-,AJ11,AE6,-,-
0,GND,-,GND,-,-,-,AK11,AF5,-,-
0,GND,-,GND,-,-,-,AL11,-,-,-
0,GND,-,GND,-,-,-,AL9,-,-,-
0,GND,-,GND,-,-,-,AH8,-,-,-
0,GND,-,GND,-,-,-,AJ8,-,-,-
0,GND,-,GND,-,-,-,AK8,-,-,-
0,GND,-,GND,-,-,-,AL8,-,-,-
0,GND,-,GND,-,-,-,AH7,-,-,-
0,GND,-,GND,-,-,-,AJ7,-,-,-
0,GND,-,GND,-,-,-,AK7,-,-,-
0,GND,-,GND,-,-,-,AL7,-,-,-
0,GND,-,GND,-,-,-,AM7,-,-,-
0,GND,-,GND,-,-,-,-,-,-,-
0,GND,-,GND,-,-,-,-,-,-,-
0,GND,-,GND,-,-,-,-,-,-,-
0,GND,-,GND,-,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,AJ13,AC11,T6,P10
0,VCCA0,-,-,-,-,-,AG12,AB10,U6,R10
0,VCCA0,-,-,-,-,-,AH12,AC10,-,-
0,VCCA0,-,-,-,-,-,AJ12,AC8,-,-
0,VCCA0,-,-,-,-,-,AJ10,AB7,-,-
0,VCCA0,-,-,-,-,-,AG9,AC7,-,-
0,VCCA0,-,-,-,-,-,AH9,-,-,-
0,VCCA0,-,-,-,-,-,AJ9,-,-,-
0,VCCA0,-,-,-,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,AF22,AB20,T15,-
0,VCCA1,-,-,-,-,-,AG22,AC20,U15,-
0,VCCA1,-,-,-,-,-,AH22,AC19,-,-
0,VCCA1,-,-,-,-,-,AJ22,AB17,-,-
0,VCCA1,-,-,-,-,-,AJ21,AC17,-,-
0,VCCA1,-,-,-,-,-,AG19,AC16,-,-
0,VCCA1,-,-,-,-,-,AH19,-,-,-
0,VCCA1,-,-,-,-,-,AJ19,-,-,-
0,VCCA1,-,-,-,-,-,AJ18,-,-,-
0,VCCA1,-,-,-,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,AJ16,AC14,V11,R3
0,VCCAUXA0,-,-,-,-,-,AJ15,AC13,V10,P5
0,VCCAUXA0,-,-,-,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,AJ25,AC23,V18,-
0,VCCAUXA1,-,-,-,-,-,AJ24,AC22,V17,-
0,VCCAUXA1,-,-,-,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,AB10,V11,P10,N13
0,VCCIO8,8,-,-,-,-,AC10,V10,P9,P14
0,VCCIO8,8,-,-,-,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,U10,P8,L7,M14
0,VCCIO6,6,-,-,-,-,V10,R8,L6,N14
0,VCCIO6,6,-,-,-,-,W10,U8,M6,-
0,VCCIO6,6,-,-,-,-,AA10,V8,-,-
0,VCCIO6,6,-,-,-,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,M10,K8,H7,G14
0,VCCIO7,7,-,-,-,-,P10,M8,H6,H14
0,VCCIO7,7,-,-,-,-,R10,N8,J6,-
0,VCCIO7,7,-,-,-,-,T10,-,-,-
0,VCCIO7,7,-,-,-,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,AG31,F18,-,-
0,NC,-,-,-,-,-,V30,F17,-,-
0,NC,-,-,-,-,-,H29,C15,-,-
0,NC,-,-,-,-,-,AC29,D15,-,-
0,NC,-,-,-,-,-,L28,F15,-,-
0,NC,-,-,-,-,-,W27,F14,-,-
0,NC,-,-,-,-,-,E26,F13,-,-
0,NC,-,-,-,-,-,AE26,C12,-,-
0,NC,-,-,-,-,-,G24,D12,-,-
0,NC,-,-,-,-,-,AG24,F12,-,-
0,NC,-,-,-,-,-,G23,F10,-,-
0,NC,-,-,-,-,-,G22,F9,-,-
0,NC,-,-,-,-,-,G19,F8,-,-
0,NC,-,-,-,-,-,G18,AA5,-,-
0,NC,-,-,-,-,-,G17,AA4,-,-
0,NC,-,-,-,-,-,G16,AA3,-,-
0,NC,-,-,-,-,-,G15,-,-,-
0,NC,-,-,-,-,-,G14,-,-,-
0,NC,-,-,-,-,-,G11,-,-,-
0,NC,-,-,-,-,-,G10,-,-,-
0,NC,-,-,-,-,-,G9,-,-,-
0,NC,-,-,-,-,-,E7,-,-,-
0,NC,-,-,-,-,-,AE7,-,-,-
0,NC,-,-,-,-,-,W6,-,-,-
0,NC,-,-,-,-,-,L5,-,-,-
0,NC,-,-,-,-,-,H4,-,-,-
0,NC,-,-,-,-,-,AC4,-,-,-
0,NC,-,-,-,-,-,V3,-,-,-
0,NC,-,-,-,-,-,AG2,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-,-
